City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mattru,7.6244,-11.8332,26.13,64.0,100.0,2.8,SL,1611081592.0
puerto ayora,-0.7393,-90.3518,28.0,74.0,20.0,7.72,EC,1611081593.0
ushuaia,-54.8,-68.3,15.0,47.0,20.0,3.6,AR,1611081586.0
chapais,49.7834,-74.8492,-18.0,71.0,75.0,0.53,CA,1611081593.0
hilo,19.7297,-155.09,20.0,88.0,90.0,5.66,US,1611081383.0
hermanus,-34.4187,19.2345,20.0,73.0,76.0,5.82,ZA,1611081593.0
pevek,69.7008,170.3133,-33.49,86.0,100.0,1.93,RU,1611081593.0
marystown,47.1666,-55.1483,-0.09,92.0,92.0,9.59,CA,1611081593.0
sao filipe,14.8961,-24.4956,23.46,64.0,100.0,2.87,CV,1611081593.0
constitucion,-35.3333,-72.4167,20.8,63.0,12.0,3.03,CL,1611081593.0
kieta,-6.2167,155.6333,25.6,77.0,4.0,1.08,PG,1611081593.0
rikitea,-23.1203,-134.9692,25.54,76.0,63.0,8.24,PF,1611081593.0
busselton,-33.65,115.3333,18.63,83.0,46.0,1.84,AU,1611081593.0
bluff,-46.6,168.3333,11.88,73.0,99.0,8.97,NZ,1611081594.0
faanui,-16.4833,-151.75,27.23,73.0,5.0,6.06,PF,1611081594.0
albany,42.6001,-73.9662,2.78,61.0,100.0,3.92,US,1611081469.0
hobart,-42.8794,147.3294,8.0,71.0,0.0,4.63,AU,1611081594.0
clyde river,70.4692,-68.5914,-17.0,85.0,90.0,2.57,CA,1611081560.0
norman wells,65.282,-126.8329,-11.0,92.0,90.0,3.6,CA,1611081594.0
matara,5.9485,80.5353,24.06,90.0,100.0,2.01,LK,1611081594.0
mataura,-46.1927,168.8643,6.63,95.0,100.0,4.53,NZ,1611081594.0
norashen,39.9996,44.5895,-5.0,93.0,20.0,1.54,AM,1611081594.0
laguna,38.421,-121.4238,15.56,23.0,1.0,10.8,US,1611081594.0
sobolevo,54.4299,31.8996,-19.02,93.0,69.0,1.25,RU,1611081594.0
coahuayana,18.7333,-103.6833,27.0,54.0,40.0,2.77,MX,1611081594.0
kaitangata,-46.2817,169.8464,10.0,62.0,100.0,6.26,NZ,1611081595.0
codrington,-38.2667,141.9667,8.08,91.0,0.0,2.22,AU,1611081595.0
roma,43.2128,-75.4557,1.11,69.0,90.0,5.66,US,1611081485.0
husavik,66.0449,-17.3389,0.0,93.0,90.0,7.2,IS,1611081595.0
vaini,-21.2,-175.2,24.0,94.0,40.0,1.03,TO,1611081595.0
cape town,-33.9258,18.4232,21.11,68.0,20.0,9.77,ZA,1611081394.0
zwedru,6.0667,-8.1281,27.58,59.0,85.0,2.81,LR,1611081595.0
port elizabeth,-33.918,25.5701,21.0,83.0,0.0,8.75,ZA,1611081322.0
meulaboh,4.1363,96.1285,24.38,88.0,95.0,1.64,ID,1611081595.0
gerede,40.8008,32.1969,-14.19,96.0,100.0,1.23,TR,1611081595.0
madinat sittah uktubar,29.8167,31.05,14.0,72.0,75.0,1.54,EG,1611081595.0
margate,51.3813,1.3862,10.0,79.0,100.0,3.58,GB,1611081595.0
broome,42.2506,-75.833,1.67,64.0,90.0,6.69,US,1611081596.0
raudeberg,61.9875,5.1352,2.78,67.0,99.0,4.11,NO,1611081596.0
punta arenas,-53.15,-70.9167,18.0,39.0,20.0,4.63,CL,1611081417.0
berlevag,70.8578,29.0864,-3.0,74.0,75.0,10.8,NO,1611081596.0
saint anthony,45.0205,-93.218,-8.33,73.0,90.0,4.12,US,1611081596.0
norman,35.2226,-97.4395,8.33,53.0,1.0,7.2,US,1611081331.0
bethel,41.3712,-73.414,3.33,56.0,90.0,5.66,US,1611081601.0
vega de alatorre,20.0333,-96.6333,24.76,67.0,42.0,5.42,MX,1611081601.0
nikolskoye,59.7035,30.7861,-5.0,86.0,75.0,1.0,RU,1611081601.0
waipawa,-41.4122,175.5153,14.44,54.0,6.0,10.29,NZ,1611081602.0
tabuny,52.7773,78.7896,-23.11,89.0,89.0,2.49,RU,1611081602.0
barrow,71.2906,-156.7887,-17.0,85.0,90.0,8.75,US,1611081602.0
pacific grove,36.6177,-121.9166,17.0,13.0,1.0,6.17,US,1611081526.0
qaanaaq,77.484,-69.3632,-17.24,72.0,98.0,3.8,GL,1611081602.0
thompson,55.7435,-97.8558,-25.0,77.0,75.0,3.09,CA,1611081602.0
severo-kurilsk,50.6789,156.125,-9.85,86.0,94.0,10.43,RU,1611081602.0
ilulissat,69.2167,-51.1,-6.0,68.0,75.0,1.03,GL,1611081602.0
baracoa,20.3467,-74.4958,25.53,81.0,100.0,4.58,CU,1611081603.0
lebu,-37.6167,-73.65,18.76,65.0,0.0,9.83,CL,1611081603.0
saint george,37.1041,-113.5841,11.11,36.0,1.0,4.63,US,1611081604.0
ribeira grande,38.5167,-28.7,16.0,67.0,20.0,9.77,PT,1611081604.0
torbay,47.6666,-52.7314,3.89,87.0,75.0,5.66,CA,1611081604.0
saskylakh,71.9167,114.0833,-29.53,86.0,100.0,2.61,RU,1611081604.0
khatanga,71.9667,102.5,-33.56,85.0,100.0,3.18,RU,1611081604.0
hithadhoo,-0.6,73.0833,27.29,70.0,0.0,3.87,MV,1611081605.0
mar del plata,-38.0023,-57.5575,24.0,64.0,0.0,6.17,AR,1611081404.0
kodiak,57.79,-152.4072,-4.0,63.0,1.0,3.09,US,1611081605.0
hasaki,35.7333,140.8333,-3.0,54.0,0.0,3.6,JP,1611081559.0
luderitz,-26.6481,15.1594,22.54,58.0,0.0,10.98,NA,1611081605.0
chum phae,16.5443,102.0992,15.85,55.0,100.0,0.77,TH,1611081605.0
esperance,-33.8667,121.9,22.0,53.0,8.0,7.2,AU,1611081605.0
homer,59.6425,-151.5483,-0.56,74.0,40.0,10.8,US,1611081315.0
